Lipase PF00151.25 99 1.6e-18 0.95
Abhydrolase_1 PF00561.26 99 0.17 0.77
Lipase PF00151.25 267 3.6e-59 0.90
Abhydrolase_6 PF12697.13 267 0.00077 0.64
Abhydrolase_1 PF00561.26 267 0.01 0.75
Lipase PF00151.25 169 4e-39 0.92
Abhydrolase_6 PF12697.13 169 0.0039 0.62
Ser_hydrolase PF06821.19 169 0.093 0.83
PMI_typeI_cat PF20511.4 169 0.27 0.70
PMI_typeI_cat PF20511.4 169 0.27 0.91
Nop PF01798.23 169 0.35 0.91
Lipase PF00151.25 513 3.8e-67 0.89
Abhydrolase_6 PF12697.13 513 1.5e-05 0.65
Lipase PF00151.25 440 9.1e-67 0.90
Beta-prop_WDR3_1st PF25173.1 440 0.076 0.85
Beta-prop_WDR3_1st PF25173.1 440 0.076 0.76
Abhydrolase_6 PF12697.13 440 0.19 0.62
DUF7383 PF24108.1 440 0.2 0.87
Lipase PF00151.25 469 6e-56 0.84
Abhydrolase_6 PF12697.13 469 0.00061 0.65
Abhydrolase_1 PF00561.26 469 0.0051 0.80
Lipase_3 PF01764.32 469 0.015 0.80
BD-FAE PF20434.5 469 0.034 0.82
LIDHydrolase PF10230.15 469 0.073 0.78
VirJ PF06057.17 469 0.082 0.81
Abhydrolase_2 PF02230.22 469 0.087 0.71
Abhydrolase_2 PF02230.22 469 0.087 0.81
DUF900 PF05990.18 469 0.092 0.79
Gal_mutarotas_2 PF13802.12 469 0.12 0.92
Lipase PF00151.25 411 3.4e-82 0.89
Abhydrolase_1 PF00561.26 411 9.5e-05 0.77
Abhydrolase_6 PF12697.13 411 0.00095 0.59
Abhydrolase_6 PF12697.13 411 0.00095 0.59
LIDHydrolase PF10230.15 411 0.13 0.72
DUF676 PF05057.20 411 0.26 0.87
Esterase PF00756.26 411 0.28 0.93
Lipase PF00151.25 126 3.2e-10 0.81
PAE PF03283.19 126 0.018 0.85
PH_TFIIH PF08567.17 126 0.08 0.86
Lipase PF00151.25 120 3e-18 0.94
Lipase PF00151.25 452 3e-61 0.92
Abhydrolase_6 PF12697.13 452 0.0014 0.65
tRNA-synt_His PF13393.11 452 0.01 0.91
