Lipase PF00151.25 79 4.7e-14 0.92
PGAP1 PF07819.20 79 0.28 0.82
Lipase PF00151.25 85 5e-09 0.87
Lipase PF00151.25 77 1.3e-12 0.92
Lipase PF00151.25 162 2.3e-07 0.63
Lipase PF00151.25 162 2.3e-07 0.87
Lactamase_B PF00753.33 162 0.14 0.90
Lipase PF00151.25 78 3e-09 0.94
Abhydrolase_6 PF12697.13 78 0.16 0.73
Lipase PF00151.25 109 2.4e-24 0.95
Lipase PF00151.25 95 2.1e-11 0.79
Exo_endo_phos_2 PF14529.12 95 0.12 0.71
Lipase PF00151.25 81 9.2e-20 0.96
Abhydrolase_1 PF00561.26 81 0.00011 0.84
Abhydrolase_6 PF12697.13 81 0.0011 0.61
Esterase PF00756.26 81 0.024 0.93
DUF900 PF05990.18 81 0.03 0.84
LIDHydrolase PF10230.15 81 0.041 0.67
Abhydrolase_3 PF07859.19 81 0.066 0.86
DUF676 PF05057.20 81 0.099 0.88
BD-FAE PF20434.5 81 0.15 0.75
Lipase PF00151.25 108 6.5e-07 0.93
Lipase PF00151.25 194 4.3e-61 0.95
Lipase PF00151.25 89 2.3e-10 0.89
Lipase_3 PF01764.32 89 0.00039 0.70
DIP2311-like_C PF22168.2 89 0.031 0.77
Lipase PF00151.25 94 1.6e-18 0.93
VirJ PF06057.17 94 0.0029 0.81
LIDHydrolase PF10230.15 94 0.011 0.74
Abhydrolase_6 PF12697.13 94 0.015 0.73
BD-FAE PF20434.5 94 0.021 0.85
Lipase_3 PF01764.32 94 0.029 0.66
Abhydrolase_2 PF02230.22 94 0.078 0.90
Abhydrolase_1 PF00561.26 94 0.095 0.87
Hydrolase_4 PF12146.15 94 0.098 0.87
DUF900 PF05990.18 94 0.2 0.84
Cleaved_Adhesin PF07675.18 94 0.25 0.86
